,Unnamed: 0,dwarf name,constellation,distance,mass,radius,discovery,gravity
72,72,2MASS J16262034+3925190 [de],Hercules,110.0,1.3480596277199998e+29,73636985.673,2004.0,1659.2174251037488
73,73,2MASSW J1632291+190441 [de],Hercules,50.0,9.3035101068e+28,69347452.52699994,1999.0,1291.136064635986
74,74,LSPM J1658+7027 [de],Draco,60.0,1.3860331383599998e+29,74351907.864,2000.0,1673.3068242582376
75,75,LSR J1835+3259,Lyra,18.5,1.46198015964e+29,76496674.437,2003.0,1667.4106478888943
76,76,PSO J318.5−22,Capricornus,80.0,1.2341390957999999e+28,109383095.22299999,2013.0,68.84143200551662
77,77,2MASS J22282889-4310262,Grus,35.0,7.974437234399999e+28,67202685.95399994,2013.0,1178.4549471797186
78,78,WISE 0410+1502,Taurus,20.0,1.1392053191999999e+28,83645896.34699993,2010.0,108.6673127879527
79,79,WISE 0458+6434A,Camelopardalis,35.9,2.848013298e+28,300267320.22,2010.0,21.082013105928027
80,80,WISE 0458+6434B,Camelopardalis,35.9,1.898675532e+28,271670432.5799999,2010.0,17.16928491175303
81,81,WISE 1405+5534,Ursa Major,25.3,0.02863764,0.08837618,2010.0,2.4471070969610065e-10
